inline	achternaam	# was block
block	actie
block	adresregel
block	afkorting
block	al
block	bijschrift
block	considerans.al
block	context.al
block	datum
block	dossierref
block	inwerkingtreding.datum
block	kenmerk
block	koning
inline	label	# need to check whether the label occurs inside a block, otherwise wrap.
block	li.nr
block	lidnr
block	noot.nr
inline	nr	# was block
block	ondertekeningsdatum
block	origine
block	paginanr
block	parlementair.al
block	plaats
block	publicatiejaar
block	publicatienr
block	term
block	terugwerkend.datum
block	uitgegeven
block	uitgiftedatum
block	verdragspartij
inline	voornaam	# was block
block	waarde
block	wat
block	wetverwijzing
block	wie
block	wij
cite	extref
cite	intref
citegroup	extref-groep
citegroup	intref-groep
cite_target	doc
container	aanhangig
container	aanhef
container	adres
container	adreslijst
container	afkondiging
container	al-groep
container	alias-titels
container	artikel.toelichting
container	artikeltekst
container	beschrijving-inwerking
container	beschrijving-voorlopigetoepassing
container	betreft-onderdelen
container	bijlage-sluiting
container	binnenwet
container	bron
container	brondata
container	circulaire
container	circulaire-sluiting
container	circulaire.aanhef
container	citaat
container	commentaar-wetgeving
container	considerans
container	considerans.lijst
container	context
container	context.lijst
container	dagtekening
container	definitie
container	definitie-item
container	definitielijst
container	delegatie
container	enig-artikel
container	entry
container	entrytbl
container	formule
container	gegeven
container	geschiedenis
container	gevolg-juncto
container	gewijzigd-door
container	goedkeuring
container	grondslagen
container	historische-brondata
container	inhoud
container	inhoud-groep
container	inwerkingtreding
container	juncto
container	li
container	lid
container	lijst
container	meta-data
inline	naam	# was container
container	naamlijst
container	noot.li
container	noot.lijst
container	ondertekenaar
container	oorspronkelijk
container	opmerkingen-inhoud
container	parlementair
container	partij-gegevens
container	plaatje
container	preambule
container	publicatie
container	rectificatie
container	redactioneel
container	regeling
container	regeling-sluiting
container	regeling-tekst
container	row
container	slotformulering
container	specificatie
container	specificatie-item
container	specificatielijst
container	structuurtekst
container	table
container	tbody
container	tekst
container	terugwerkende-kracht
container	terugwerkende-kracht-data
container	terugwerkende-kracht-opmerkingen
container	tfoot
container	tgroup
container	thead
container	totstandkoming
container	uitgifte
container	verdrag
container	verdragspartijen
container	voorbehouden
container	voorbereiding
container	voorlopigetoepassing
container	vrije-tekst
container	wet-besluit
container	wetsluiting
container	wettekst
container	wijzig-lid
container	wijziging
container_ext	noot	# was noot
hcontainer	afdeling
hcontainer	bijlage
hcontainer	boek
container	circulaire-tekst	# was hcontainer
hcontainer	circulaire.divisie
hcontainer	citaat-artikel
hcontainer	deel
hcontainer_text	divisie	# was hcontainer
hcontainer	hoofdstuk
hcontainer	model
hcontainer	officiele-inhoudsopgave
hcontainer	paragraaf
hcontainer	sub-paragraaf
hcontainer	titeldeel
hcontainer	verdragtekst
hcontainer	wetcitaat
hcontainer	wijzig-artikel
hcontainer	wijzig-divisie
hcontainer	wijzig-lid-groep
hcontainer_text	artikel
htitle	artikelkop
htitle	kop
inline	subtitel # was htitle
inline	titel	# was htitle
block	title	# was htitle
block	tussenkop	# was htitle
inline	aan-wie
inline	aanhaling
inline	afk
inline	alias-titel
inline	cit
inline	citeertitel
inline	datum-ratificatie
inline	deze
inline	dfn
inline	eerst-verantwoordelijk
inline	eg-richtlijn
inline	functie
inline	gegenereerde-tekst
inline	grondslag
inline	in-afschrift-aan
inline	indexterm
inline	inf
block	intitule	# was inline
inline	materiele-uitwerkingtreding.datum
inline	nadruk
inline	noot.al
block	ondertekening	# was inline
inline	organisatie
inline	ovl
inline	politiek
inline	redactie
inline	sup
inline	tekstcorrectie
inline	unl
inline	vertaald-door
inline	vertaling-van
inline	voorlopigetoepassing.datum
inline	subtitel
milestone	colspec
milestone	illustratie
milestone	nootref
milestone	omissie
milestone	ref-item
milestone	spanspec
root	wetgeving
root_id	bwb-id
error	error
ontology_base	http://doc.metalex.eu/bwb/ontology/
short	artikel
antishort	bijlage
organization	organisatie
